,Country,Target country,Strikes in Iraq,Strikes in Syria,Location,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Casualties?,Casualties estimate
8/8/2014,,Iraq,1,,Irbil,Attack,2,500-pound laser-guided bombs,Mobile artillery piece,1,Unknown,,,,,,,,,,,,,,
8/8/2014,,Iraq,1,,Irbil,Remotely piloted aircraft,1,,Mortar position,1,Unknown,,,,,,,,,,,,,Yes,Unknown
8/8/2014,,Iraq,1,,Irbil,Attack,4,Laser guided bomb,Convoy,7,Destroyed,Mortar position,1,Destroyed,,,,,,,,,,,
8/9/2014,,Iraq,4,,Sinjar,Fighter and Remotely piloted aircraft,Unknown,,APC,6,Destroyed,Armed truck,1,Destroyed,,,,,,,,,,,
8/10/2014,,Iraq,6,,Irbil,Fighter and Remotely piloted aircraft,Unknown,,Armed truck,3,Destroyed,Mortar position,1,Destroyed,Armed vehicle,1,Damaged,Convoy,1,Destroyed,,,,,
8/11/2014,,Iraq,4,,Sinjar,Fighter,1,,Checkpoint,3,Destroyed,Armed truck,1,Destroyed,High-Mobility Multipurpose Wheeled Vehicle,1,Destroyed,Checkpoint,1,Damaged,Truck,1,Destroyed,,
8/12/2014,,Iraq,1,,Sinjar,Remotely piloted aircraft,1,,Mortar position,1,Destroyed,,,,,,,,,,,,,,
8/13/2014,,Iraq,1,,Sinjar,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,
8/14/2014,,Iraq,4,,Irbil,Fighter and Remotely piloted aircraft,Unknown,,Armed vehicle,2,Destroyed,MRAP,1,Destroyed,,,,,,,,,,,
8/15/2014,,Iraq,1,,Irbil,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,
8/16/2014,,Iraq,3,,Irbil,Fighter and Remotely piloted aircraft,Unknown,,APC,4,Destroyed,Armed vehicle,7,Destroyed,Humvee,2,Destroyed,Armored vehicle,1,Destroyed,,,,,
8/16/2014,,Iraq,6,,Mosul,,,,,,,,,,,,,,,,,,,,
8/17/2014,,Iraq,14,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/18/2014,,Iraq,15,,mosul Dam,,,,,,,,,,,,,,,,,,,,
8/19/2014,,Iraq,2,,mosul Dam,,,,,,,,,,,,,,,,,,,,
8/20/2014,,Iraq,14,,mosul Dam,,,,,,,,,,,,,,,,,,,,
8/21/2014,,Iraq,6,,mosul Dam,,,,,,,,,,,,,,,,,,,,
8/22/2014,,Iraq,3,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/23/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/24/2014,,Iraq,1,,Irbil,,,,,,,,,,,,,,,,,,,,
8/24/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/26/2014,,Iraq,2,,Irbil,,,,,,,,,,,,,,,,,,,,
8/27/2014,,Iraq,3,,Mosul Dam area,,,,,,,,,,,,,,,,,,,,
8/28/2014,,Iraq,5,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/29/2014,,Iraq,4,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/30/2014,,Iraq,5,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/30/2014,,Iraq,3,,Amirli,,,,,,,,,,,,,,,,,,,,
8/31/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
8/31/2014,,Iraq,1,,Amirli,,,,,,,,,,,,,,,,,,,,
9/1/2014,,Iraq,3,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
9/2/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
9/3/2014,,Iraq,3,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
9/4/2014,,Iraq,4,,Mosul Dam area,,,,,,,,,,,,,,,,,,,,
9/5/2014,,Iraq,2,,Irbil,,,,,,,,,,,,,,,,,,,,
9/6/2014,,Iraq,4,,Haditha,,,,,,,,,,,,,,,,,,,,
9/6/2014,,Iraq,1,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
9/7/2014,,Iraq,5,,Haditha Dam,,,,,,,,,,,,,,,,,,,,
9/8/2014,,Iraq,4,,Haditha Dam,,,,,,,,,,,,,,,,,,,,
9/8/2014,,Iraq,1,,Irbil,,,,,,,,,,,,,,,,,,,,
9/9/2014,,Iraq,1,,Irbil,,,,,,,,,,,,,,,,,,,,
9/9/2014,,Iraq,5,,Haditha Dam,,,,,,,,,,,,,,,,,,,,
9/10/2014,,Iraq,2,,Mosul Dam & Irbil,,,,,,,,,,,,,,,,,,,,
9/11/2014,,Iraq,2,,Mosul Dam & Irbil,,,,,,,,,,,,,,,,,,,,
9/12/2014,,Iraq,2,,Mosul Dam,,,,,,,,,,,,,,,,,,,,
9/14/2014,,Iraq,1,,Sinjar,,,,,,,,,,,,,,,,,,,,
9/14/2014,,Iraq,1,,SW Baghdad,,,,,,,,,,,,,,,,,,,,
9/15/2014,,Iraq,2,,Irbil,,,,,,,,,,,,,,,,,,,,
9/15/2014,,Iraq,3,,SW Baghdad,,,,,,,,,,,,,,,,,,,,
9/16/2014,,Iraq,1,,Haditha,,,,,,,,,,,,,,,,,,,,
9/16/2014,,Iraq,2,,Irbil,,,,,,,,,,,,,,,,,,,,
9/16/2014,,Iraq,4,,SW Baghdad,,,,,,,,,,,,,,,,,,,,
9/17/2014,,Iraq,1,,Mosul,,,,,,,,,,,,,,,,,,,,
9/17/2014,,Iraq,1,,SE Baghdad,,,,,,,,,,,,,,,,,,,,
9/18/2014,France,Iraq,1,,"Zumar, iraq",,,,,,,,,,,,,,,,,,,,
9/18/2014,,Iraq,1,,SE Baghdad,,,,,,,,,,,,,,,,,,,,
9/18/2014,,Iraq,1,,SW Baghdad,,,,,,,,,,,,,,,,,,,,
9/19/2014,,Iraq,1,,SW Baghdad,,,,,,,,,,,,,,,,,,,,
9/20/2014,,Iraq,4,,haditha,,,,,,,,,,,,,,,,,,,,
9/20/2014,,Iraq,1,,NW Baghdad,,,,,,,,,,,,,,,,,,,,
9/21/2014,,Iraq,2,,Sinjar,,,,,,,,,,,,,,,,,,,,
9/22/2014,,Iraq,4,,Kirkuk,,,,,,,,,,,,,,,,,,,,
9/23/2014,,Iraq,1,,NW Baghdad,,,,,,,,,,,,,,,,,,,,
9/23/2014,,Iraq,4,,Kirkuk,,,,,,,,,,,,,,,,,,,,
9/23/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
9/23/2014,,Syria,,22,"Raqaa, Al Hasakah, Abu Kamal, Aleppo ",,,,,,,,,,,,,,,,,,,,
9/24/2014,,Iraq,2,,W Baghdad,,,,,,,,,,,,,,,,,,,,
9/24/2014,,Iraq,2,,Irbil,,,,,,,,,,,,,,,,,,,,
9/24/2014,,Syria,,1,NW Al Qaim (syria),,,,,,,,,,,,,,,,,,,,
9/24/2014,,Syria,,12,"Al Mayadin, Al hasakah, Abu Kamel",,,,,,,,,,,,,,,,,,,,
9/24/2014,,Syria,,3,Unknown Syria,,,,,,,,,,,,,,,,,,,,
9/24/2014,,Syria,,1,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
9/25/2014,France,Iraq,1,0,Fallujah ,,,,,,,,,,,,,,,,,,,,
9/25/2014,,Iraq,1,0,Irbil,,,,,,,,,,,,,,,,,,,,
9/25/2014,,Iraq,5,0,Kirkuk ,,,,,,,,,,,,,,,,,,,,
9/25/2014,,Iraq,5,0,W Baghdad,,,,,,,,,,,,,,,,,,,,
9/26/2014,,Iraq,5,0,Kirkuk ,,,,,,,,,,,,,,,,,,,,
9/26/2014,,Iraq,1,0,Bagdhad,,,,,,,,,,,,,,,,,,,,
9/26/2014,,Iraq,1,,Al Qaim,,,,,,,,,,,,,,,,,,,,
9/26/2014,,Syria,,3,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
9/27/2014,"* KSA, Jordan, UAE",Iraq,3,,Irbil,,,,,,,,,,,,,,,,,,,,
9/27/2014,,Syria,,2,Al Hasakah,,,,,,,,,,,,,,,,,,,,
9/27/2014,,Syria,,1,Manbij,,,,,,,,,,,,,,,,,,,,
9/27/2014,,Syria,,1,Kobane,,,,,,,,,,,,,,,,,,,,
9/27/2014,,Syria,,3,Raqaa,,,,,,,,,,,,,,,,,,,,
9/28/2014,,Iraq,1,,Baghdad,,,,,,,,,,,,,,,,,,,,
9/28/2014,,Iraq,3,,Fallujah,,,,,,,,,,,,,,,,,,,,
9/28/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
9/28/2014,,Syria,,1,NE Syria,,,,,,,,,,,,,,,,,,,,
9/28/2014,,Syria,,5,Raqaa,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Iraq,1,,Kirkuk,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Iraq,2,,Sinjar,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Syria,,2,Aleppo,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Syria,,2,Raqaa,,,,,,,,,,,,,,,,,,,,
9/29/2014,,Syria,,2,Manbij,,,,,,,,,,,,,,,,,,,,
9/30/2014,"2 strikes is UK, location unknown",Iraq,7,,Sinjar,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Iraq,2,,Mosul dam,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Iraq,1,,NW Baghdad,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Iraq,1,,Fallujah,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Syria,,5,NE Syria,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Syria,,3,Mazraa al Dawud,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Syria,,1,Aleppo,,,,,,,,,,,,,,,,,,,,
9/30/2014,,Syria,,2,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/1/2014,UK,Iraq,1,,NW Baghdad ,,,,,,,,,,,,,,,,,,,,
10/1/2014,,Iraq,3,,NW Mosul,,,,,,,,,,,,,,,,,,,,
10/1/2014,,Iraq,1,,Haditah,,,,,,,,,,,,,,,,,,,,
10/1/2014,,Syria,,3,Kobane,,,,,,,,,,,,,,,,,,,,
10/2/2014,UK,Syria,,1,North of Sinjar ,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Iraq,1,,NW Baghdad,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Iraq,2,,Mosul,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Iraq,1,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Iraq,2,,Ramadi,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Syria,,1,Raqaa,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Syria,,1,Aleppo,,,,,,,,,,,,,,,,,,,,
10/2/2014,,Syria,,1,Kobane,,,,,,,,,,,,,,,,,,,,
10/3/2014,,Iraq,1,,Sinjar,,,,,,,,,,,,,,,,,,,,
10/3/2014,,Iraq,2,,Fallujah,,,,,,,,,,,,,,,,,,,,
10/3/2014,,Syria,,1,Al Hasakah,,,,,,,,,,,,,,,,,,,,
10/3/2014,,Syria,,1,Dayr az Zawr,,,,,,,,,,,,,,,,,,,,
10/3/2014,,Syria,,2,North Raqaa,,,,,,,,,,,,,,,,,,,,
